Date,PeriodNum,HDigit,TDigit,Digit
2017-03-25,2017077,0,2,0
2017-03-26,2017078,4,4,9
2017-03-27,2017079,4,8,7
2017-03-28,2017080,7,3,5
2017-03-29,2017081,1,2,9
2017-03-30,2017082,6,2,5
2017-03-31,2017083,1,0,5
2017-04-01,2017084,8,2,2
2017-04-02,2017085,5,6,0
2017-04-03,2017086,6,9,7
2017-04-04,2017087,3,7,7
2017-04-05,2017088,3,6,6
2017-04-06,2017089,5,1,8
2017-04-07,2017090,3,9,0
2017-04-08,2017091,3,4,1
2017-04-09,2017092,3,0,5
2017-04-10,2017093,8,4,0
2017-04-11,2017094,5,7,3
2017-04-12,2017095,5,9,3
2017-04-13,2017096,4,7,0
2017-04-14,2017097,7,4,9
2017-04-15,2017098,4,0,7
2017-04-16,2017099,0,4,6
2017-04-17,2017100,5,9,6
